DATE,DESCRIPTION,From/To,SPENT,RECEIVED,ASSIGN TO
"12/01/2025","WH SMITH XXX6 311N LEICESTER GB XXXX1044","Smith & Wollensky","$31.49","","Payroll Expenses:Contractors - 1099"
"12/01/2025","GglPay YOURPARKINGSPLONDON GB XXXX2000","","$16.17","","Travel - Employee Meals"
"12/01/2025","HERTZTOLL XXXXX0500 PHILADELPHIA AP PA XXXX1036","HERTZ CAR RENTAL","$15.99","","Vehicle (Rent/Wash) - COS"
"12/01/2025","DOJO*FAMOUS BREW CAFLONDON GB XXXX1044","","$7.56","","Travel - Employee Meals"
"12/01/2025","HERTZTOLL XXXXX5180 PHILADELPHIA AP PA XXXX1044","HERTZ CAR RENTAL","$77.97","","Vehicle (Rent/Wash) - COS"
"11/30/2025","THE VAULT 1894 LTD SHAD THAMES GB XXXX1044","","$19.22","","Travel - Employee Meals"
"11/30/2025","HERTZTOLL XXXXXXXXX XXX-XXX-4300 PA XXXX2000","HERTZ CAR RENTAL","$34.38","","Vehicle (Rent/Wash) - COS"
"11/30/2025","HAWKSMOOR BOROUGH LONDON GB XXXX1044","","$174.09","","Travel - Employee Meals"
"11/30/2025","AIRALO SINGAPORE SG XXXX1044","","$18.50","","Advertising & Marketing"
"11/30/2025","HILTON HOTELS LONDON GB XXXX1044","HILTON","$163.07","","Travel - Courses COS"
"11/30/2025","GglPay THE VAULT 189SHAD THAMES GB XXXX2000","","$20.55","","Travel - Employee Meals"
"11/30/2025","GglPay SAINSBURY'S SHEPPERTON GB XXXX2000","","$14.58","","Travel - Employee Meals"
"11/30/2025","GglPay APCOA PARKINGHOUNSLOW GB XXXX2000","","$9.94","","Travel - Courses COS"
"11/29/2025","HILTON GARDEN INN LOHOUNSLOW GB XXXX2000","HILTON","$240.95","","Travel - Courses COS"
"11/29/2025","AUTOZONE #XXXX X0000SAN DIEGO CA XXXX2000","AUTO ZONE","$29.61","","Vehicle (Rent/Wash) - COS"
"11/29/2025","JOEANDTHEJUICE_SANFRNEW YORK NY XXXX1044","","$14.88","","Travel - Employee Meals"
